Name,SPDXID,Version,DownloadLocation,License
"@aws-crypto/crc32","SPDXRef-Package-aws-crypto.crc32-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/crc32/-/crc32-5.2.0.tgz","Apache-2.0"
"@aws-crypto/crc32c","SPDXRef-Package-aws-crypto.crc32c-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/crc32c/-/crc32c-5.2.0.tgz","Apache-2.0"
"@aws-crypto/sha1-browser","SPDXRef-Package-aws-crypto.sha1-browser-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/sha1-browser/-/sha1-browser-5.2.0.tgz","Apache-2.0"
"@aws-crypto/sha256-browser","SPDXRef-Package-aws-crypto.sha256-browser-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/sha256-browser/-/sha256-browser-5.2.0.tgz","Apache-2.0"
"@aws-crypto/sha256-js","SPDXRef-Package-aws-crypto.sha256-js-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/sha256-js/-/sha256-js-5.2.0.tgz","Apache-2.0"
"@aws-crypto/supports-web-crypto","SPDXRef-Package-aws-crypto.supports-web-crypto-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/supports-web-crypto/-/supports-web-crypto-5.2.0.tgz","Apache-2.0"
"@aws-crypto/util","SPDXRef-Package-aws-crypto.util-5.2.0","5.2.0","https://registry.npmjs.org/@aws-crypto/util/-/util-5.2.0.tgz","Apache-2.0"
"@aws-sdk/client-cloudcontrol","SPDXRef-Package-aws-sdk.client-cloudcontrol-3.1014.0","3.1014.0","https://registry.npmjs.org/@aws-sdk/client-cloudcontrol/-/client-cloudcontrol-3.1014.0.tgz","Apache-2.0"
"@aws-sdk/client-cloudformation","SPDXRef-Package-aws-sdk.client-cloudformation-3.1014.0","3.1014.0","https://registry.npmjs.org/@aws-sdk/client-cloudformation/-/client-cloudformation-3.1014.0.tgz","Apache-2.0"
"@aws-sdk/client-iam","SPDXRef-Package-aws-sdk.client-iam-3.1014.0","3.1014.0","https://registry.npmjs.org/@aws-sdk/client-iam/-/client-iam-3.1014.0.tgz","Apache-2.0"
